Mate,NAME,Pos.#,Barcode,Length,Width,Thickness,Length2,Width2,Thickness2,Top,Bottom,Edge 1,Edge 2,Edge 3,Edge 4,Qty
GP_HDH_36_5900_BS,Int RS Filler 36 mm,03.26Y125T4F14A3_1153,03.26Y125T4F14A3_1153,200,313,36,198.8,311.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH_6_5900_BS,Drawer Bottom,03.26Y125T4F14A3_1148,03.26Y125T4F14A3_1148,386.5,426,6,386.5,426,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
GP_HDH_6_5900_BS,Drawer Bottom,03.26Y125T4F14A3_1158,03.26Y125T4F14A3_1158,386.5,276,6,386.5,276,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
GP_HDH17_5900_BS,Drawer Front,03.26Y125T4F14A3_1152,03.26Y125T4F14A3_1152,198,451,17,196.8,449.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Front,03.26Y125T4F14A3_1143,03.26Y125T4F14A3_1143,198,451,17,196.8,449.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer front INT,03.26Y125T4F14A3_1144,03.26Y125T4F14A3_1144,376.5,110,17,375.3,109.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Side RHS,03.26Y125T4F14A3_1145,03.26Y125T4F14A3_1145,450,140,17,448.8,138.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Back,03.26Y125T4F14A3_1146,03.26Y125T4F14A3_1146,376.5,140,17,375.3,139.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Side LHS,03.26Y125T4F14A3_1147,03.26Y125T4F14A3_1147,450,140,17,448.8,138.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer front INT,03.26Y125T4F14A3_1154,03.26Y125T4F14A3_1154,376.5,110,17,375.3,109.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
